epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,10407.1,1.36997,0.6605,1.033,0.80034,0.68013,0.76338,0.41222,0.29705,0.12185,3770,1.47615,0.67932,1.07956,0.001948,0.001948,0.001948
124,10489.2,1.36547,0.65735,1.03261,0.80835,0.67409,0.76315,0.41312,0.29694,0.12189,3770,1.47281,0.67786,1.07775,0.001882,0.001882,0.001882
125,10570.6,1.35755,0.65793,1.03026,0.79379,0.67612,0.76051,0.41159,0.29505,0.12093,3770,1.47307,0.68026,1.07833,0.001816,0.001816,0.001816
126,10652.5,1.35344,0.65223,1.03132,0.79078,0.68634,0.76202,0.4099,0.29179,0.11932,3770,1.47869,0.67915,1.081,0.00175,0.00175,0.00175
127,10734.1,1.35696,0.6538,1.02888,0.7905,0.68616,0.76449,0.41162,0.29554,0.12053,3770,1.47555,0.67724,1.07865,0.001684,0.001684,0.001684
128,10816.6,1.35357,0.65389,1.0281,0.79752,0.68005,0.76238,0.41125,0.29578,0.12066,3770,1.47488,0.67759,1.07955,0.001618,0.001618,0.001618
129,10897.9,1.35254,0.65132,1.0246,0.80498,0.68345,0.76697,0.4123,0.29858,0.12142,3770,1.47575,0.67613,1.08034,0.001552,0.001552,0.001552
130,10979.7,1.34457,0.65012,1.02269,0.80589,0.68393,0.76597,0.41251,0.29806,0.12222,3770,1.47895,0.67612,1.08109,0.001486,0.001486,0.001486
131,11062.1,1.33822,0.64675,1.02361,0.80262,0.68268,0.76336,0.41252,0.295,0.12188,3770,1.47833,0.67513,1.08111,0.00142,0.00142,0.00142
132,11143.9,1.33564,0.64651,1.02414,0.8062,0.67903,0.76218,0.41354,0.2965,0.12252,3770,1.47758,0.6744,1.08118,0.001354,0.001354,0.001354
133,11225.8,1.33445,0.64294,1.02518,0.80869,0.67913,0.76436,0.41388,0.29855,0.12253,3770,1.47737,0.67502,1.08117,0.001288,0.001288,0.001288
134,11307.6,1.33114,0.64239,1.01969,0.816,0.67555,0.76471,0.4119,0.29958,0.12272,3770,1.47792,0.67499,1.08089,0.001222,0.001222,0.001222
135,11391,1.32671,0.64092,1.01934,0.80934,0.67748,0.76599,0.41257,0.30145,0.12366,3770,1.47785,0.67497,1.0814,0.001156,0.001156,0.001156
136,11472.8,1.32388,0.6387,1.02016,0.81012,0.68223,0.76836,0.41292,0.30119,0.12332,3770,1.47758,0.67449,1.08111,0.00109,0.00109,0.00109
137,11554.3,1.32584,0.64039,1.01837,0.8043,0.68221,0.76827,0.41281,0.30242,0.12259,3770,1.47648,0.67303,1.08088,0.001024,0.001024,0.001024
138,11643.3,1.32036,0.63715,1.01744,0.80985,0.68052,0.76795,0.41372,0.30165,0.12291,3770,1.47542,0.67368,1.08026,0.000958,0.000958,0.000958
139,11732.6,1.31685,0.63357,1.01674,0.80208,0.68594,0.76651,0.41377,0.30022,0.1231,3770,1.47705,0.67362,1.08101,0.000892,0.000892,0.000892
140,11820.2,1.32158,0.6405,1.01807,0.80804,0.68915,0.76733,0.41274,0.2996,0.12185,3770,1.47638,0.67308,1.0811,0.000826,0.000826,0.000826
141,11914.5,1.31522,0.63525,1.01236,0.80362,0.68712,0.76509,0.4126,0.299,0.12214,3770,1.47497,0.67289,1.08061,0.00076,0.00076,0.00076
142,12001.5,1.31025,0.63121,1.01049,0.80493,0.67898,0.76499,0.41202,0.30095,0.12252,3770,1.47424,0.67282,1.08078,0.000694,0.000694,0.000694
143,12089.6,1.30838,0.62959,1.01241,0.79858,0.68432,0.7665,0.4127,0.30192,0.12316,3770,1.47484,0.67247,1.08148,0.000628,0.000628,0.000628
144,12176.4,1.30441,0.62959,1.01206,0.79906,0.68385,0.76796,0.41274,0.30254,0.12289,3770,1.4761,0.67101,1.08214,0.000562,0.000562,0.000562
145,12265.8,1.30643,0.63138,1.0129,0.80158,0.68326,0.76742,0.41414,0.3029,0.12407,3770,1.47605,0.67073,1.08211,0.000496,0.000496,0.000496
146,12351.9,1.29945,0.62704,1.00866,0.80286,0.68132,0.76679,0.41412,0.30194,0.12415,3770,1.47536,0.66985,1.08244,0.00043,0.00043,0.00043
147,12439,1.29633,0.62418,1.01092,0.80692,0.68021,0.76672,0.41501,0.30348,0.12477,3770,1.4753,0.67043,1.08183,0.000364,0.000364,0.000364
148,12525.4,1.29886,0.62744,1.00719,0.80527,0.68105,0.76762,0.41468,0.30399,0.12462,3770,1.47586,0.67016,1.08157,0.000298,0.000298,0.000298
149,12612.7,1.29401,0.62291,1.00885,0.80645,0.6857,0.76821,0.41427,0.30346,0.12432,3770,1.47603,0.66986,1.08154,0.000232,0.000232,0.000232
150,12699.5,1.29349,0.62073,1.0083,0.804,0.68146,0.76836,0.41473,0.30351,0.12449,3770,1.4761,0.67012,1.08153,0.000166,0.000166,0.000166
